matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_max_16_time,maximum_max_16_cycle,maximum_max_16_perms,maximum_max_16_planes,maximum_max_16_split,maximum_max_2_time,maximum_max_2_cycle,maximum_max_2_perms,maximum_max_2_planes,maximum_max_2_split,maximum_max_4_time,maximum_max_4_cycle,maximum_max_4_perms,maximum_max_4_planes,maximum_max_4_split,maximum_max_8_time,maximum_max_8_cycle,maximum_max_8_perms,maximum_max_8_planes,maximum_max_8_split,maximum_median_16_time,maximum_median_16_cycle,maximum_median_16_perms,maximum_median_16_planes,maximum_median_16_split,maximum_median_2_time,maximum_median_2_cycle,maximum_median_2_perms,maximum_median_2_planes,maximum_median_2_split,maximum_median_4_time,maximum_median_4_cycle,maximum_median_4_perms,maximum_median_4_planes,maximum_median_4_split,maximum_median_8_time,maximum_median_8_cycle,maximum_median_8_perms,maximum_median_8_planes,maximum_median_8_split,maximum_min_16_time,maximum_min_16_cycle,maximum_min_16_perms,maximum_min_16_planes,maximum_min_16_split,maximum_min_2_time,maximum_min_2_cycle,maximum_min_2_perms,maximum_min_2_planes,maximum_min_2_split,maximum_min_4_time,maximum_min_4_cycle,maximum_min_4_perms,maximum_min_4_planes,maximum_min_4_split,maximum_min_8_time,maximum_min_8_cycle,maximum_min_8_perms,maximum_min_8_planes,maximum_min_8_split
74,473,8010.0,0.6717401000059908,maximum,0.22159889999602456,10388.0,318,3,,0.053379200006020255,11230.0,648,9,,0.09534100000746548,10731.0,466,5,,0.1678957999974955,10595.0,372,3,,0.30071189999580383,8885.0,495,3,,0.055808300006901845,11230.0,648,9,,0.10391940000408795,9950.0,534,5,,0.2038170000014361,9644.0,507,3,,0.7044038000021828,8618.0,804,3,,0.06279029999859631,11230.0,648,9,,0.1296446000051219,9950.0,638,5,,0.3060708999983035,9626.0,747,3,
75,470,8209.0,0.6660321000090335,maximum,0.22529679999570362,10582.0,319,3,,0.053024599998025224,11405.0,660,9,,0.09240330000466201,10821.0,473,5,,0.16925330000231043,10615.0,363,3,,0.31820569999399595,9113.0,557,3,,0.05478590000711847,11405.0,660,9,,0.10402899999462534,10185.0,561,5,,0.20175469999958295,9898.0,523,3,,0.7508077999955276,8945.0,887,3,,0.06196279999858234,11405.0,660,9,,0.1272527999972226,10185.0,670,5,,0.30841379999765195,9889.0,755,3,
76,476,8105.0,0.6751053000043612,maximum,0.22123670000291895,10299.0,317,3,,0.054279500007396564,11225.0,654,9,,0.08911319999606349,10681.0,468,5,,0.16724229999817908,10684.0,368,3,,0.30303229999844916,8954.0,497,3,,0.05775389999325853,11225.0,654,9,,0.09807500000169966,10102.0,552,5,,0.19675299999653362,9729.0,524,3,,0.7193102999881376,8761.0,814,3,,0.05871100000513252,11225.0,654,9,,0.12110869999742135,10101.0,663,5,,0.29680280000320636,9721.0,760,3,
77,484,8543.0,0.7030831000010949,maximum,0.23004860000219196,10962.0,323,3,,0.058199499995680526,11472.0,674,9,,0.09911509999074042,11144.0,473,5,,0.16988629999104887,11149.0,382,3,,0.31615129999408964,9416.0,506,3,,0.058081299997866154,11472.0,674,9,,0.10803339999984019,10499.0,550,5,,0.2069370999961393,10248.0,545,3,,0.7283207000000402,9151.0,826,3,,0.06500399998913053,11472.0,674,9,,0.12778419999813195,10499.0,661,5,,0.32263889999012463,10247.0,777,3,
78,478,7833.0,0.6838590000115801,maximum,0.21828040000400506,10008.0,315,3,,0.05272979999426752,10826.0,641,9,,0.08747700000822078,10392.0,463,5,,0.1625272999954177,10277.0,362,3,,0.29439180000917986,8654.0,468,3,,0.05480109999189153,10826.0,641,9,,0.09935899999982212,9817.0,547,5,,0.2005183000001125,9602.0,539,3,,0.6721962000010535,8425.0,778,3,,0.062080100004095584,10826.0,641,9,,0.11765699999523349,9737.0,646,5,,0.29299009998794645,9601.0,769,3,
79,474,8295.0,0.6749989999952959,maximum,0.22344669999438338,10679.0,317,3,,0.05668340000556782,11653.0,660,9,,0.09237709999433719,10878.0,471,5,,0.17002980000688694,10714.0,372,3,,0.3022882000077516,9194.0,512,3,,0.05552979999629315,11653.0,660,9,,0.10643059998983517,10164.0,541,5,,0.19974559999536723,9839.0,521,3,,0.6857004000048619,8887.0,819,3,,0.06522380000387784,11653.0,660,9,,0.12313150000409223,10163.0,640,5,,0.3174106000078609,9831.0,772,3,
80,467,8143.0,0.6679970999975922,maximum,0.2207060999935493,10600.0,319,3,,0.05244430000311695,11097.0,651,9,,0.09545700000307988,10687.0,467,5,,0.17358509999758098,10627.0,370,3,,0.30326070000592154,9009.0,479,3,,0.055555899991304614,11097.0,651,9,,0.1045252000039909,10135.0,530,5,,0.20809899999585468,9839.0,525,3,,0.7296507999999449,8751.0,796,3,,0.06313739999313839,11097.0,651,9,,0.12240700000256766,10071.0,635,5,,0.3301262000022689,9823.0,769,3,
81,477,8275.0,0.6797100999974646,maximum,0.22662819999095518,10579.0,320,3,,0.06702109999605455,11269.0,661,9,,0.09006980000413023,10959.0,468,5,,0.15905349999957252,10967.0,369,3,,0.3160349999961909,9268.0,527,3,,0.057843300004606135,11269.0,661,9,,0.10132020000310149,10144.0,545,5,,0.19309089999296702,9748.0,515,3,,0.7501262000005227,8899.0,844,3,,0.06157819999498315,11269.0,661,9,,0.12175980000756681,10079.0,653,5,,0.3143058999994537,9683.0,756,3,
82,466,7904.0,0.6576650000060908,maximum,0.21860529998957645,10486.0,320,3,,0.05263320000085514,11164.0,642,9,,0.08905489998869598,10858.0,464,5,,0.1641206000058446,10453.0,366,3,,0.315382500004489,9136.0,545,3,,0.05337290000170469,11164.0,642,9,,0.0986337999929674,10000.0,552,5,,0.1850706999975955,9464.0,522,3,,0.7206485000060638,8848.0,839,3,,0.061063600005581975,11164.0,642,9,,0.11382790000061505,10000.0,658,5,,0.2792485000099987,9432.0,742,3,
83,478,8249.0,0.6869590999995125,maximum,0.22210959999938495,10665.0,317,3,,0.05369099999370519,11553.0,671,9,,0.09442019999551121,11084.0,480,5,,0.17298350000055507,10937.0,368,3,,0.3170706999953836,9185.0,546,3,,0.05741910000506323,11553.0,671,9,,0.10310769999341574,10186.0,559,5,,0.2090312000073027,9875.0,542,3,,0.6887882000009995,8937.0,865,3,,0.06234799999219831,11553.0,671,9,,0.12734679999994114,10249.0,658,5,,0.30267210000602063,9809.0,775,3,
