matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_static_16_time,heavy_static_16_cycle,heavy_static_16_perms,heavy_static_16_planes,heavy_static_16_split,heavy_static_2_time,heavy_static_2_cycle,heavy_static_2_perms,heavy_static_2_planes,heavy_static_2_split,heavy_static_4_time,heavy_static_4_cycle,heavy_static_4_perms,heavy_static_4_planes,heavy_static_4_split,heavy_static_8_time,heavy_static_8_cycle,heavy_static_8_perms,heavy_static_8_planes,heavy_static_8_split
439,7958,8597.0,1.0463311999919824,heavy_static,0.292639399995096,9237.0,1823,3,,0.0204399999929592,11437.0,659,9,,0.0627902999985963,10693.0,929,5,,0.136982399970293,10349.0,1383,3,
440,7946,8584.0,1.3295533999917095,heavy_static,0.2987913000397384,9224.0,1853,3,,0.0162766000721603,12098.0,683,9,,0.0595353000098839,10728.0,946,5,,0.1567467000568285,10408.0,1404,3,
441,7074,7566.0,1.0663003999798093,heavy_static,0.2731406000675633,8174.0,1757,3,,0.0230580000206828,10616.0,645,9,,0.0673689000541344,9638.0,910,5,,0.1589320000493899,9518.0,1357,3,
442,7480,8042.0,1.1503974000224844,heavy_static,0.292436399962753,8698.0,1785,3,,0.0171290000434964,11068.0,646,9,,0.0599131999770179,9938.0,899,5,,0.1348317000083625,9674.0,1352,3,
443,7791,8405.0,1.0300349000026472,heavy_static,0.3167527000186965,9045.0,1815,3,,0.0185804000357165,11631.0,663,9,,0.0681792000541463,10261.0,910,5,,0.1554816999705508,9925.0,1353,3,
444,7696,8270.0,1.559972299990477,heavy_static,0.2797686000121757,8895.0,1741,3,,0.0209165000123903,11364.0,643,9,,0.0639372000005096,10326.0,900,5,,0.1468618999933824,9998.0,1333,3,
445,7662,8222.0,1.036065199994482,heavy_static,0.2813642000546679,8926.0,1795,3,,0.0171406000154092,11284.0,654,9,,0.0632122999522835,10410.0,915,5,,0.1516107000643387,10086.0,1358,3,
446,7643,8167.0,1.1714848999981768,heavy_static,0.259235999896191,8823.0,1762,3,,0.0182318000588566,11207.0,648,9,,0.0654341999907046,10323.0,911,5,,0.1562540000304579,9911.0,1363,3,
447,7537,8056.0,0.993921199988108,heavy_static,0.271021099993959,8664.0,1768,3,,0.0150542999617755,10992.0,644,9,,0.0596971000777557,9896.0,905,5,,0.1301729000406339,9544.0,1342,3,
448,8100,8792.0,1.234913599997526,heavy_static,0.2806714000180363,9432.0,1856,3,,0.0186138999415561,12096.0,682,9,,0.0664846000727266,10772.0,953,5,,0.1542296999832615,10456.0,1427,3,
