matrix,engine,framework,ttfp_ms
22,WFA,Radix B16,0.8338000043295324
22,WFA,Euler d1,19.86909999686759
22,WFA,Euler d2,30.62690001388546
22,WFA,Euler d3,37.58420002122875
22,WFA,Euler d4,38.6346000013873
22,GW (dyn=stat),BvN,1.54159999510739
22,GW (dyn=stat),Radix B2,2.678299992112443
22,GW (dyn=stat),Radix B4,1.664099982008338
22,GW (dyn=stat),Radix B8,1.4096000086283311
22,GW (dyn=stat),Radix B16,1.1079000105382875
22,GW (dyn=stat),Euler d1,20.05479999934323
22,GW (dyn=stat),Euler d2,29.982399995788
22,GW (dyn=stat),Euler d3,34.598899976117536
22,GW (dyn=stat),Euler d4,39.055900007952005
23,Hungarian,BvN,1.1270999966654927
23,Hungarian,Radix B2,2.6132000057259575
23,Hungarian,Radix B4,1.6234999930020422
23,Hungarian,Radix B8,1.2062000023433939
23,Hungarian,Radix B16,1.0383000044384971
23,Hungarian,Euler d1,21.07669999531936
23,Hungarian,Euler d2,32.38889999920502
23,Hungarian,Euler d3,36.63799997593742
23,Hungarian,Euler d4,38.64679999242071
23,WFA,BvN,0.12830000196117908
23,WFA,Radix B2,3.0660000047646463
23,WFA,Radix B4,1.4519999967887998
23,WFA,Radix B8,0.8744999940972775
23,WFA,Radix B16,0.8477000083075836
23,WFA,Euler d1,19.967899992479943
23,WFA,Euler d2,32.639700002619065
23,WFA,Euler d3,37.49130001233425
23,WFA,Euler d4,42.81370001262985
23,GW (dyn=stat),BvN,1.6140999941853806
23,GW (dyn=stat),Radix B2,2.9417000041576102
23,GW (dyn=stat),Radix B4,1.7642000020714477
23,GW (dyn=stat),Radix B8,1.4143000007607043
23,GW (dyn=stat),Radix B16,1.1414000036893412
23,GW (dyn=stat),Euler d1,20.17889999842737
23,GW (dyn=stat),Euler d2,30.74610000476241
23,GW (dyn=stat),Euler d3,36.26680001616478
23,GW (dyn=stat),Euler d4,41.61559998465236
24,Hungarian,BvN,1.2412000069161877
24,Hungarian,Radix B2,2.835200008121319
24,Hungarian,Radix B4,1.5599999896949157
24,Hungarian,Radix B8,1.1134999949717894
24,Hungarian,Radix B16,1.0599000088404864
24,Hungarian,Euler d1,21.924400003626943
24,Hungarian,Euler d2,33.50289999798406
24,Hungarian,Euler d3,39.510000016889535
24,Hungarian,Euler d4,46.18530000152532
24,WFA,BvN,0.11920000542886555
24,WFA,Radix B2,2.6246000197716057
24,WFA,Radix B4,1.4365999959409237
24,WFA,Radix B8,0.8068999886745587
24,WFA,Radix B16,0.7400000031339005
24,WFA,Euler d1,22.56389999820385
24,WFA,Euler d2,33.45350000017788
24,WFA,Euler d3,39.23209999629762
24,WFA,Euler d4,42.7971000171965
24,GW (dyn=stat),BvN,1.476600009482354
24,GW (dyn=stat),Radix B2,2.6677000132622197
24,GW (dyn=stat),Radix B4,1.6139999934239313
24,GW (dyn=stat),Radix B8,1.4438999933190644
24,GW (dyn=stat),Radix B16,1.095800005714409
24,GW (dyn=stat),Euler d1,21.708800006308593
24,GW (dyn=stat),Euler d2,32.36600001400802
24,GW (dyn=stat),Euler d3,39.250500019988976
24,GW (dyn=stat),Euler d4,41.81930002232548
25,Hungarian,BvN,1.0583999974187464
25,Hungarian,Radix B2,2.1628999966196716
25,Hungarian,Radix B4,1.4147000038065016
25,Hungarian,Radix B8,1.281300006667152
25,Hungarian,Radix B16,0.923500003409572
25,Hungarian,Euler d1,17.851199983851984
25,Hungarian,Euler d2,28.465699986554682
25,Hungarian,Euler d3,30.693399981828406
25,Hungarian,Euler d4,32.96840001712553
25,WFA,BvN,0.09240000508725643
25,WFA,Radix B2,1.981199995498173
25,WFA,Radix B4,1.2036999978590757
25,WFA,Radix B8,0.7516999903600663
25,WFA,Radix B16,0.6883000023663044
25,WFA,Euler d1,16.11640000191983
25,WFA,Euler d2,25.06140002515167
25,WFA,Euler d3,29.90400000999216
25,WFA,Euler d4,32.76310001092497
25,GW (dyn=stat),BvN,1.4459999947575852
25,GW (dyn=stat),Radix B2,2.744199999142438
25,GW (dyn=stat),Radix B4,1.6321000002790242
25,GW (dyn=stat),Radix B8,1.436699996702373
25,GW (dyn=stat),Radix B16,1.1134999949717894
25,GW (dyn=stat),Euler d1,21.20229999127332
25,GW (dyn=stat),Euler d2,31.93389998341445
25,GW (dyn=stat),Euler d3,37.9737000039313
25,GW (dyn=stat),Euler d4,41.097700013779104
26,Hungarian,BvN,1.3192000042181462
26,Hungarian,Radix B2,2.661499980604276
26,Hungarian,Radix B4,1.5751000173622742
26,Hungarian,Radix B8,1.2048999924445525
26,Hungarian,Radix B16,1.0482000070624053
26,Hungarian,Euler d1,21.818400011397898
26,Hungarian,Euler d2,33.714799996232614
26,Hungarian,Euler d3,34.2448000155855
26,Hungarian,Euler d4,41.60250000131782
26,WFA,BvN,0.1210999907925725
26,WFA,Radix B2,2.851500001270324
26,WFA,Radix B4,1.3192999904276803
26,WFA,Radix B8,0.7942000083858147
26,WFA,Radix B16,0.7691999926464632
26,WFA,Euler d1,19.621100000222214
26,WFA,Euler d2,30.476599975372665
26,WFA,Euler d3,39.97779999917839
26,WFA,Euler d4,39.62830000091344
26,GW (dyn=stat),BvN,1.4436999917961657
26,GW (dyn=stat),Radix B2,2.8593000024557114
26,GW (dyn=stat),Radix B4,1.709599993773736
26,GW (dyn=stat),Radix B8,1.4907000149833038
26,GW (dyn=stat),Radix B16,1.1602999875321984
26,GW (dyn=stat),Euler d1,20.81190000171773
26,GW (dyn=stat),Euler d2,34.561199994641356
26,GW (dyn=stat),Euler d3,41.27550001430791
26,GW (dyn=stat),Euler d4,42.15849998581689
27,Hungarian,BvN,1.2378999963402748
27,Hungarian,Radix B2,3.0030999914743006
27,Hungarian,Radix B4,1.5746999997645617
27,Hungarian,Radix B8,1.1288999958196655
27,Hungarian,Radix B16,0.9492999815847725
27,Hungarian,Euler d1,20.406600015121512
27,Hungarian,Euler d2,33.555399990291335
27,Hungarian,Euler d3,37.57830001995899
27,Hungarian,Euler d4,42.35639999387786
27,WFA,BvN,0.1396000006934628
27,WFA,Radix B2,2.5391999952262267
27,WFA,Radix B4,1.357000001007691
27,WFA,Radix B8,0.7290000066859648
27,WFA,Radix B16,0.6928999937372282
27,WFA,Euler d1,20.75429999968037
27,WFA,Euler d2,30.009100009920076
27,WFA,Euler d3,36.584699992090464
27,WFA,Euler d4,40.09699997550342
27,GW (dyn=stat),BvN,1.370800004224293
27,GW (dyn=stat),Radix B2,2.533400009269826
27,GW (dyn=stat),Radix B4,1.5183000068645924
27,GW (dyn=stat),Radix B8,1.319499991950579
27,GW (dyn=stat),Radix B16,1.029699997161515
27,GW (dyn=stat),Euler d1,20.53719999094028
27,GW (dyn=stat),Euler d2,29.446899992763065
27,GW (dyn=stat),Euler d3,36.39450001355726
27,GW (dyn=stat),Euler d4,38.76079998735804
28,Hungarian,BvN,0.9742000111145899
28,Hungarian,Radix B2,2.4279000208480284
28,Hungarian,Radix B4,1.4826999977231026
28,Hungarian,Radix B8,1.2294999905861914
28,Hungarian,Radix B16,0.9901000012177974
28,Hungarian,Euler d1,22.87070000602398
28,Hungarian,Euler d2,34.689699998125434
28,Hungarian,Euler d3,39.135099985287525
28,Hungarian,Euler d4,45.002900005783886
28,WFA,BvN,0.11930000619031489
28,WFA,Radix B2,2.335899989702739
28,WFA,Radix B4,1.3685000012628734
28,WFA,Radix B8,0.8230999956140295
28,WFA,Radix B16,0.8111000061035156
28,WFA,Euler d1,21.864499998628162
28,WFA,Euler d2,33.33140000177082
28,WFA,Euler d3,39.69380000489764
28,WFA,Euler d4,41.46589999436401
28,GW (dyn=stat),BvN,1.5069999935803935
28,GW (dyn=stat),Radix B2,2.5785999896470457
28,GW (dyn=stat),Radix B4,1.6387000068789348
28,GW (dyn=stat),Radix B8,1.4041999966138974
28,GW (dyn=stat),Radix B16,1.0697000107029453
28,GW (dyn=stat),Euler d1,22.186700007296167
28,GW (dyn=stat),Euler d2,33.87450000445824
28,GW (dyn=stat),Euler d3,38.163200006238185
28,GW (dyn=stat),Euler d4,44.37359997245949
29,Hungarian,BvN,1.3316999975359067
29,Hungarian,Radix B2,2.9316000145627186
29,Hungarian,Radix B4,1.6789000073913485
29,Hungarian,Radix B8,1.1454000050434843
29,Hungarian,Radix B16,0.982900004601106
29,Hungarian,Euler d1,22.926000005099922
29,Hungarian,Euler d2,33.18779999972321
29,Hungarian,Euler d3,31.606999997165985
29,Hungarian,Euler d4,33.64410001086071
29,WFA,BvN,0.10140000085812062
29,WFA,Radix B2,2.1453999943332747
29,WFA,Radix B4,1.1738999892259017
29,WFA,Radix B8,0.6854999955976382
29,WFA,Radix B16,0.6903000030433759
29,WFA,Euler d1,16.773499999544583
29,WFA,Euler d2,26.329600004828535
29,WFA,Euler d3,32.164300020667724
29,WFA,Euler d4,43.47879998385906
29,GW (dyn=stat),BvN,1.4325000083772466
29,GW (dyn=stat),Radix B2,2.7113000105600804
29,GW (dyn=stat),Radix B4,1.7325000080745667
29,GW (dyn=stat),Radix B8,1.4096999948378652
29,GW (dyn=stat),Radix B16,1.1247999937040731
29,GW (dyn=stat),Euler d1,22.3404999851482
29,GW (dyn=stat),Euler d2,34.96709998580627
29,GW (dyn=stat),Euler d3,40.47110000101384
29,GW (dyn=stat),Euler d4,43.21889999846462
