matrix,engine,framework,ttfp_ms
4,WFA,Euler d1,19.37180000822991
4,WFA,Euler d2,30.97449999768287
4,WFA,Euler d3,36.9930999877397
4,WFA,Euler d4,41.73840000294149
4,GW (dyn=stat),BvN,1.532000009319745
4,GW (dyn=stat),Radix B2,3.1347000040113926
4,GW (dyn=stat),Radix B4,1.7690999957267195
4,GW (dyn=stat),Radix B8,1.528000007965602
4,GW (dyn=stat),Radix B16,1.1770999990403652
4,GW (dyn=stat),Euler d1,19.581300002755597
4,GW (dyn=stat),Euler d2,31.13419999135658
4,GW (dyn=stat),Euler d3,37.72989999561105
4,GW (dyn=stat),Euler d4,41.54520000156481
5,Hungarian,BvN,0.9067000064533204
5,Hungarian,Radix B2,2.602099993964657
5,Hungarian,Radix B4,1.368700002785772
5,Hungarian,Radix B8,1.1118999827886
5,Hungarian,Radix B16,0.9846000029938295
5,Hungarian,Euler d1,18.699799984460697
5,Hungarian,Euler d2,28.811600001063198
5,Hungarian,Euler d3,32.11699999519624
5,Hungarian,Euler d4,39.36199996678624
5,WFA,BvN,0.11850000009872019
5,WFA,Radix B2,2.797000008285977
5,WFA,Radix B4,1.436699996702373
5,WFA,Radix B8,1.0884999937843531
5,WFA,Radix B16,0.8851000020513311
5,WFA,Euler d1,23.83360000385437
5,WFA,Euler d2,35.372499987715855
5,WFA,Euler d3,43.136799984495156
5,WFA,Euler d4,47.43199999211356
5,GW (dyn=stat),BvN,1.219500001752749
5,GW (dyn=stat),Radix B2,2.299300002050586
5,GW (dyn=stat),Radix B4,1.2798999960068613
5,GW (dyn=stat),Radix B8,1.2353999773040414
5,GW (dyn=stat),Radix B16,1.0842999909073114
5,GW (dyn=stat),Euler d1,18.115800005034544
5,GW (dyn=stat),Euler d2,27.417800010880455
5,GW (dyn=stat),Euler d3,37.52659999008756
5,GW (dyn=stat),Euler d4,40.66900002362672
6,Hungarian,BvN,0.9199000051012263
6,Hungarian,Radix B2,2.701099991099909
6,Hungarian,Radix B4,1.361000002361834
6,Hungarian,Radix B8,0.9239999926649034
6,Hungarian,Radix B16,0.9167000098386779
6,Hungarian,Euler d1,20.666399999754503
6,Hungarian,Euler d2,31.85839999059681
6,Hungarian,Euler d3,41.53640000731684
6,Hungarian,Euler d4,48.20300001301803
6,WFA,BvN,0.10689999908208847
6,WFA,Radix B2,2.9362000059336424
6,WFA,Radix B4,1.4495000068563968
6,WFA,Radix B8,1.0710000060498714
6,WFA,Radix B16,0.8416999917244539
6,WFA,Euler d1,20.758499988005497
