matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,wfa_16_time,wfa_16_cycle,wfa_16_perms,wfa_16_planes,wfa_16_split,wfa_2_time,wfa_2_cycle,wfa_2_perms,wfa_2_planes,wfa_2_split,wfa_4_time,wfa_4_cycle,wfa_4_perms,wfa_4_planes,wfa_4_split,wfa_8_time,wfa_8_cycle,wfa_8_perms,wfa_8_planes,wfa_8_split
215,10092,11948.0,1.3537353999854531,wfa,0.2956914999522269,12142.0,2352,3,,0.0245413000229746,12953.0,806,9,,0.0697909999871626,12302.0,1137,5,,0.1418088000500574,11984.0,1717,3,
216,10234,11569.0,1.6734448999923188,wfa,0.2833573999814689,12052.0,2286,3,,0.025021200068295,13178.0,809,9,,0.0657186999451369,12539.0,1151,5,,0.146175600006245,12221.0,1697,3,
217,10564,11899.0,1.6671747000073085,wfa,0.2924910000292584,12294.0,2346,3,,0.024673500098288,13437.0,798,9,,0.0673744999803602,12835.0,1153,5,,0.1457086000591516,12498.0,1718,3,
218,10433,11873.0,1.9602016000135336,wfa,0.2864543000468984,12163.0,2296,3,,0.0226904000155627,13140.0,787,9,,0.0639836000045761,12467.0,1115,5,,0.1408828999847173,12087.0,1672,3,
219,10026,11275.0,1.6905119000002742,wfa,0.2887594000203535,11648.0,2268,3,,0.0248194000450894,12888.0,780,9,,0.0642014000331983,11999.0,1120,5,,0.1436943999724462,11843.0,1648,3,
220,9881,10980.0,1.5639107000024524,wfa,0.2811442000092938,11292.0,2215,3,,0.0242366000311449,12509.0,789,9,,0.0642443000106141,11992.0,1106,5,,0.1461288999998942,11682.0,1673,3,
221,10647,12064.0,1.66123910000897,wfa,0.3017831000033766,12509.0,2401,3,,0.0237260999856516,13329.0,809,9,,0.065650500007905,12521.0,1145,5,,0.145880899974145,12251.0,1712,3,
222,10768,12098.0,1.7741737999895122,wfa,0.2849124999484047,12489.0,2325,3,,0.0250901000108569,13420.0,800,9,,0.0651959999231621,12789.0,1131,5,,0.141665400005877,12611.0,1698,3,
223,10893,12557.0,1.8083385000063568,wfa,0.2996609000256285,12828.0,2390,3,,0.0253473999910056,13871.0,828,9,,0.0724684000015258,13047.0,1173,5,,0.1515168000478297,12701.0,1760,3,
224,10181,11354.0,1.6944924999843352,wfa,0.2964893999742344,11712.0,2326,3,,0.0262670000083744,13164.0,792,9,,0.0660425999667495,12074.0,1115,5,,0.1430979999713599,11769.0,1674,3,
225,10765,12124.0,1.4689065999991726,wfa,0.3018477000296116,12513.0,2414,3,,0.0256997999968007,13860.0,826,9,,0.0659972999710589,12762.0,1163,5,,0.1505087000550702,12486.0,1752,3,
226,10560,11783.0,1.7287225000036417,wfa,0.2893179999664426,12494.0,2333,3,,0.0234566000290215,13438.0,801,9,,0.0651107999728992,12801.0,1140,5,,0.1418826999142766,12218.0,1668,3,
227,10366,11846.0,1.850322399986908,wfa,0.3074922999367118,12135.0,2438,3,,0.0260998999001458,13082.0,818,9,,0.0672897000331431,12888.0,1172,5,,0.1438982000108808,12673.0,1760,3,
228,10617,11840.0,1.7308985999843571,wfa,0.2871707000304013,12259.0,2312,3,,0.0241692001000046,13048.0,778,9,,0.0671190000139176,12418.0,1104,5,,0.1433870999608189,12191.0,1662,3,
229,10797,12228.0,1.8816851000010504,wfa,0.3093749999534338,12615.0,2458,3,,0.023469700012356,13779.0,832,9,,0.067367700044997,12796.0,1187,5,,0.1466242999304086,12499.0,1751,3,
230,10859,12502.0,1.7453887999872677,wfa,0.3061571000143885,13100.0,2445,3,,0.0260027999756857,14538.0,835,9,,0.0681528000859543,13332.0,1184,5,,0.1506383999949321,12783.0,1746,3,
231,9738,10853.0,1.7687316000228748,wfa,0.2967494000913575,11155.0,2287,3,,0.0227007999783381,12308.0,774,9,,0.0652289999416098,11615.0,1110,5,,0.1392213000217452,11361.0,1645,3,
232,9785,10881.0,1.338384800008498,wfa,0.2978644999675452,11200.0,2282,3,,0.0253440000815317,12632.0,779,9,,0.0645017999922856,12273.0,1112,5,,0.1406578999012708,12021.0,1667,3,
233,11141,12913.0,1.8546194999944416,wfa,0.2951878999592736,13486.0,2423,3,,0.0243516000919044,14640.0,813,9,,0.0659638999495655,13789.0,1157,5,,0.149867899948731,13193.0,1715,3,
234,10459,11846.0,1.7776888999796938,wfa,0.2949745999649167,12049.0,2346,3,,0.0231540999375283,13292.0,805,9,,0.0650711000198498,12070.0,1129,5,,0.1454436000203713,11892.0,1713,3,
