matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_16_time,maximum_16_cycle,maximum_16_perms,maximum_16_planes,maximum_16_split,maximum_2_time,maximum_2_cycle,maximum_2_perms,maximum_2_planes,maximum_2_split,maximum_4_time,maximum_4_cycle,maximum_4_perms,maximum_4_planes,maximum_4_split,maximum_8_time,maximum_8_cycle,maximum_8_perms,maximum_8_planes,maximum_8_split
175,480,8344.0,0.7734307999489829,maximum,0.8215930999722332,9112.0,861,3,,0.07371889997739345,11638.0,666,9,,0.1379204000113532,10364.0,674,5,,0.3667336000362411,10016.0,789,3,
176,466,7425.0,0.7155384999932721,maximum,0.8261896000476554,8097.0,814,3,,0.07045400002971292,10369.0,626,9,,0.14383720001205802,9581.0,650,5,,0.33798279997427016,9217.0,780,3,
177,464,7924.0,0.7198811999987811,maximum,0.7589619000209495,8580.0,810,3,,0.06461090000811964,11196.0,648,9,,0.12951550004072487,9884.0,648,5,,0.3242631000466645,9532.0,738,3,
178,476,8203.0,0.7356352999340743,maximum,0.8289061000104994,8891.0,833,3,,0.08163390005938709,11391.0,650,9,,0.13857409998308867,9860.0,642,5,,0.33117340004537255,9507.0,735,3,
179,470,8109.0,0.741489400039427,maximum,0.8132115000626072,8813.0,879,3,,0.07326740003190935,11259.0,653,9,,0.14429279998876154,10081.0,668,5,,0.3347642000298947,9701.0,748,3,
180,478,8532.0,0.7531876999419183,maximum,0.7686476000817493,9380.0,789,3,,0.07166150002740324,11818.0,655,9,,0.13160650001373142,10616.0,647,5,,0.33059509994927794,10084.0,759,3,
181,470,8030.0,0.7480812999419868,maximum,0.8200132000492886,8734.0,847,3,,0.06894170003943145,11004.0,657,9,,0.14793310000095516,9874.0,654,5,,0.36533539998345077,9558.0,745,3,
182,476,8059.0,0.7226012999890372,maximum,0.8176735000452027,8731.0,820,3,,0.070970100001432,11045.0,650,9,,0.14054370007943362,9835.0,646,5,,0.3270757000427693,9475.0,728,3,
183,484,8096.0,0.7855814999202266,maximum,0.8137380999978632,8768.0,848,3,,0.0713939000852406,11046.0,655,9,,0.14755090000107884,10076.0,656,5,,0.3630520000588149,9712.0,780,3,
184,484,8579.0,0.7640465999720618,maximum,0.8121491000056267,9251.0,849,3,,0.0691019999794662,11755.0,652,9,,0.13944940001238137,10323.0,634,5,,0.3739095999626443,9995.0,744,3,
185,477,8096.0,0.7593672999646515,maximum,0.8197429000865668,8784.0,876,3,,0.07082620006985962,11070.0,654,9,,0.1384785999543965,10016.0,656,5,,0.35519899998325855,9680.0,788,3,
186,474,8405.0,0.768199700047262,maximum,0.8036894000833854,9013.0,813,3,,0.07296040002256632,11641.0,668,9,,0.1348344999132678,10577.0,665,5,,0.4242372000589967,10261.0,811,3,
187,474,7815.0,0.738552000024356,maximum,0.7935461000306532,8455.0,816,3,,0.0715473999734968,10439.0,641,9,,0.14573620003648102,9671.0,633,5,,0.35217219998594373,9399.0,759,3,
188,481,8289.0,0.80558749998454,maximum,0.831686699995771,8865.0,799,3,,0.06992659997195005,11151.0,649,9,,0.13592390005942434,10161.0,663,5,,0.3819056999636814,9817.0,808,3,
